扭矩,钻压 ,回转功率 ,给进功率,回转转速 
4.51,673,1057,518,399.8
4.36,678,1057,507,399.8
4.33,667,1057,510,399.8
4.46,662,1057,510,399.8
4.28,672,1057,510,399.8
4.21,682,1057,510,399.8
4.11,673,1057,510,399.8
4.15,675,1057,507,399.8
4.42,660,1057,503,399.8
4.72,646,1050,510,399.9
4.78,658,1050,507,399.9
4.94,682,1050,500,399.9
5,681,1050,507,399.9
4.71,701,1050,518,399.9
4.57,677,1050,503,399.9
4.59,660,1050,503,399.9
4.36,673,1050,503,399.9
4.29,682,1050,507,399.9
4.33,669,1050,507,399.9
4.3,687,960,518,400
4.23,678,960,518,400
4.29,674,960,514,400
4.2,669,960,514,400
4.42,667,960,521,400
4.78,662,960,529,400
4.98,685,960,532,400
5.04,688,960,532,400
4.98,683,960,529,400
4.62,680,960,529,400
4.48,669,952,540,399.8
4.34,647,952,551,399.8
4.17,662,952,547,399.8
4.11,650,952,543,399.8
4.24,641,952,551,399.8
4.03,647,952,551,399.8
3.99,656,952,551,399.8
3.92,634,952,554,399.8
3.86,630,952,554,399.8
4.02,614,952,558,399.8
4.34,604,952,558,399.9
4.49,620,952,565,399.9
4.69,644,952,562,399.9
4.7,642,952,558,399.9
4.44,650,952,558,399.9
4.32,635,952,562,399.9
4.36,608,952,562,399.9
4.18,617,952,558,399.9
4.18,613,952,558,399.9
4.29,607,952,558,399.9
4.21,617,967,562,400
4.21,615,967,551,400
4.31,596,967,554,400
4.26,590,967,558,400
4.47,581,967,554,400
4.85,596,967,547,400
5.04,623,967,558,400
5.08,621,967,554,400
4.96,616,967,551,400
4.59,624,967,547,400
4.45,627,1020,554,399.8
4.34,618,1020,547,399.8
4.26,633,1020,554,399.8
4.25,628,1020,554,399.8
4.36,630,1020,551,399.8
4.17,644,1020,547,399.8
4.15,661,1020,551,399.8
4.02,656,1020,554,399.8
3.94,662,1020,547,399.8
4.2,661,1020,547,399.8
4.71,662,952,554,399.9
4.85,682,952,554,399.9
5.04,695,952,547,399.9
5.12,692,952,554,399.9
4.96,718,952,558,399.9
4.86,724,952,551,399.9
4.89,724,952,547,399.9
4.73,734,952,554,399.9
4.71,731,952,558,399.9
4.78,706,952,540,399.9
4.67,723,952,551,400
4.61,712,952,554,400
4.61,708,952,551,400
4.42,706,952,547,400
4.59,712,952,551,400
4.96,702,952,558,400
5.1,724,952,551,400
5.07,715,952,547,400
4.91,698,952,558,400
4.57,694,952,558,400
4.52,689,1110,554,399.8
4.48,664,1110,551,399.8
4.4,662,1110,551,399.8
4.32,637,1110,554,399.8
4.39,610,1110,558,399.8
4.25,613,1110,558,399.8
4.23,621,1110,565,399.8
4.1,612,1110,558,399.8
4.02,622,1110,551,399.8
4.32,636,1110,562,399.8
4.87,656,1005,565,399.9
5,686,1005,565,399.9
5.03,698,1005,558,399.9
4.88,681,1005,562,399.9
4.62,682,1005,562,399.9
4.5,667,1005,562,399.9
4.54,647,1005,551,399.9
4.36,643,1005,558,399.9
4.39,637,1005,551,399.9
4.51,627,1005,551,399.9
4.41,655,1035,558,400
4.27,657,1035,551,400
4.42,662,1035,543,400
4.49,673,1035,547,400
4.73,684,1035,529,400
5.03,672,1035,536,400
5.15,690,1035,540,400
5.13,689,1035,525,400
5.02,690,1035,529,400
4.72,701,1035,529,400
4.71,717,1170,518,399.8
4.67,706,1170,529,399.8
4.55,725,1170,521,399.8
4.48,702,1170,518,399.8
4.59,688,1170,518,399.8
4.49,688,1170,525,399.8
4.46,693,1170,510,399.8
4.36,670,1170,518,399.8
4.27,679,1170,518,399.8
4.62,681,1170,500,399.8
5.18,701,1087,507,399.9
5.26,712,1087,507,399.9
5.3,724,1087,496,399.9
5.18,714,1087,500,399.9
4.93,739,1087,507,399.9
4.77,731,1087,503,399.9
4.83,719,1087,492,399.9
4.65,710,1087,500,399.9
4.65,695,1087,503,399.9
4.75,679,1087,489,399.9
4.66,701,1005,489,400
4.64,697,1005,500,400
4.81,711,1005,492,400
4.83,727,1005,489,400
5,738,1005,503,400
5.23,728,1005,496,400
5.27,744,1005,489,400
5.22,731,1005,500,400
5.13,719,1005,496,400
4.85,724,1005,489,400
4.79,720,1162,485,399.8
4.72,706,1162,492,399.8
4.62,717,1162,489,399.8
4.61,698,1162,478,399.8
4.77,685,1162,500,399.8
4.71,688,1162,492,399.8
4.65,706,1162,489,399.8
4.56,694,1162,489,399.8
4.58,709,1162,496,399.8
4.81,701,1162,500,399.8
5.25,703,960,503,400
5.16,693,960,496,400
5.08,677,960,503,400
4.8,648,960,496,400
4.54,668,960,510,400
4.4,659,960,510,400
4.48,645,960,518,400
4.43,649,960,518,400
4.45,655,960,518,400
4.51,643,960,525,400
4.44,671,930,529,400
4.45,672,930,532,400
4.68,690,930,529,400
4.68,709,930,521,400
4.82,699,930,532,400
5.03,675,930,525,400
5.08,675,930,510,400
5.05,657,930,529,400
5.02,644,930,521,400
4.8,654,930,500,400
4.85,660,1042,514,399.8
4.8,651,1042,514,399.8
4.71,657,1042,507,399.8
4.63,651,1042,510,399.8
4.65,642,1042,507,399.8
4.48,659,1042,500,399.8
4.46,680,1042,507,399.8
4.59,688,1042,507,399.8
4.76,712,1042,503,399.8
5,710,1042,503,399.8
5.36,710,952,507,399.9
5.35,719,952,492,399.9
5.36,721,952,492,399.9
5.18,708,952,496,399.9
4.99,720,952,500,399.9
4.97,719,952,496,399.9
5.11,713,952,492,399.9
5.06,727,952,500,399.9
5.11,725,952,503,399.9
5.12,712,952,489,399.9
5.03,733,1080,496,400
4.9,726,1080,500,400
4.99,733,1080,492,400
4.93,751,1080,489,400
5.09,744,1080,492,400
5.25,720,1080,496,400
5.21,722,1080,492,400
5.23,709,1080,496,400
5.23,706,1080,492,400
5.05,715,1080,496,400
5.12,719,1072,489,399.8
5.1,705,1072,481,399.8
5.04,722,1072,492,399.8
4.97,713,1072,489,399.8
5.03,701,1072,485,399.8
4.82,710,1072,489,399.8
4.88,731,1072,500,399.8
4.93,748,1072,496,399.8
4.87,771,1072,485,399.8
5.05,758,1072,496,399.8
5.37,740,1057,496,399.9
5.34,745,1057,500,399.9
5.36,743,1057,500,399.9
5.22,725,1057,500,399.9
4.96,733,1057,507,399.9
4.85,713,1057,503,399.9
4.91,688,1057,496,399.9
4.8,682,1057,507,399.9
4.77,672,1057,507,399.9
4.88,675,1057,507,399.9
4.82,704,990,500,400
4.77,716,990,507,400
4.92,719,990,507,400
4.84,729,990,514,400
4.93,716,990,514,400
5.05,694,990,510,400
5.12,713,990,518,400
5.19,714,990,521,400
5.22,700,990,507,400
5.01,712,990,510,400
4.99,729,1200,514,399.8
4.89,714,1200,510,399.8
4.72,727,1200,500,399.8
4.62,712,1200,510,399.8
4.62,701,1200,507,399.8
4.58,720,1200,496,399.8
4.74,753,1200,500,399.8
4.85,761,1200,503,399.8
4.82,766,1200,496,399.8
4.96,737,1200,496,399.8
5.26,712,1102,485,399.9
5.26,710,1102,474,399.9
5.37,728,1102,485,399.9
5.34,724,1102,485,399.9
5.18,750,1102,481,399.9
5.19,750,1102,481,399.9
5.28,743,1102,481,399.9
5.15,748,1102,470,399.9
5.16,754,1102,481,399.9
5.23,758,1102,474,399.9
5.28,793,1050,467,400
5.2,800,1050,485,400
5.19,799,1050,478,400
5.11,795,1050,463,400
5.3,784,1050,474,400
5.54,762,1050,474,400
5.67,773,1050,463,400
5.7,769,1050,467,400
5.67,763,1050,470,400
5.34,765,1050,467,400
5.28,771,1155,463,399.8
5.23,753,1155,470,399.8
5.09,762,1155,470,399.8
5.04,752,1155,463,399.8
5.19,752,1155,474,399.8
5.22,775,1155,478,399.8
5.35,805,1155,459,399.8
5.4,810,1155,474,399.8
5.31,804,1155,478,399.8
5.48,769,1155,459,399.8
5.72,747,1140,470,399.9
5.71,746,1140,474,399.9
5.68,750,1140,470,399.9
5.51,744,1140,470,399.9
5.28,766,1140,474,399.9
5.26,766,1140,478,399.9
5.36,767,1140,478,399.9
5.24,780,1140,474,399.9
5.34,789,1140,485,399.9
5.49,783,1140,492,399.9
5.47,818,1065,492,400
5.34,809,1065,489,400
5.28,801,1065,481,400
5.16,793,1065,496,400
5.39,769,1065,496,400
5.61,734,1065,496,400
5.63,741,1065,489,400
5.66,726,1065,500,400
5.66,710,1065,507,400
5.36,715,1065,503,400
5.31,718,1177,492,399.8
5.21,698,1177,507,399.8
5,705,1177,510,399.8
4.99,706,1177,510,399.8
5.17,717,1177,507,399.8
5.18,747,1177,510,399.8
5.37,786,1177,510,399.8
5.35,783,1177,500,399.8
5.29,777,1177,510,399.8
5.42,747,1177,507,399.8
5.61,718,1027,492,399.9
5.58,726,1027,500,399.9
5.57,712,1027,500,399.9
5.47,699,1027,489,399.9
5.24,715,1027,496,399.9
5.28,718,1027,496,399.9
5.38,714,1027,485,399.9
5.31,734,1027,485,399.9
5.37,758,1027,500,399.9
5.52,774,1027,485,399.9
5.53,817,1177,481,400
5.44,818,1177,489,400
5.32,792,1177,478,400
5.16,780,1177,474,400
5.36,766,1177,478,400
5.57,744,1177,478,400
5.66,752,1177,474,400
5.76,751,1177,478,400
5.81,758,1177,485,400
5.55,775,1177,474,400
5.54,789,1140,467,399.8
5.39,786,1140,478,399.8
5.25,825,1140,474,399.8
5.34,851,1140,474,399.8
5.52,864,1140,474,399.8
5.45,870,1140,474,399.8
5.51,860,1140,485,399.8
5.46,818,1140,478,399.8
5.32,792,1140,470,399.8
5.42,756,1140,467,399.8
5.71,735,1207,478,399.9
5.71,753,1207,463,399.9
5.71,776,1207,463,399.9
5.66,781,1207,474,399.9
5.48,792,1207,474,399.9
5.38,784,1207,467,399.9
5.44,763,1207,459,399.9
5.29,773,1207,478,399.9
5.38,776,1207,489,399.9
5.44,766,1207,474,399.9
5.45,775,1155,474,400
5.47,769,1155,481,400
5.37,744,1155,474,400
5.16,745,1155,467,400
5.32,729,1155,474,400
5.61,709,1155,481,400
5.72,721,1155,478,400
5.67,729,1155,470,400
5.61,721,1155,478,400
5.41,726,1155,478,400
5.44,724,1305,470,399.8
5.32,716,1305,474,399.8
5.29,727,1305,478,399.8
5.44,743,1305,485,399.8
5.62,741,1305,489,399.8
5.49,757,1305,481,399.8
5.41,751,1305,481,399.8
5.29,741,1305,496,399.8
5.15,747,1305,489,399.8
5.29,742,1305,489,399.8
5.57,734,1177,485,399.9
5.65,750,1177,489,399.9
5.74,763,1177,481,399.9
5.63,746,1177,481,399.9
5.43,750,1177,489,399.9
5.29,741,1177,478,399.9
5.39,739,1177,478,399.9
5.43,765,1177,481,399.9
5.52,779,1177,474,399.9
5.49,761,1177,467,399.9
5.44,776,1050,474,400
5.36,765,1050,467,400
5.29,762,1050,459,400
5.16,776,1050,470,400
5.41,789,1050,459,400
5.6,780,1050,456,400
5.64,800,1050,456,400
5.66,799,1050,448,400
5.67,809,1050,452,400
5.52,819,1050,441,400
5.45,833,1230,434,399.8
5.39,840,1230,437,399.8
5.4,867,1230,441,399.8
5.57,871,1230,423,399.8
5.8,862,1230,441,399.8
5.68,856,1230,434,399.8
5.67,851,1230,430,399.8
5.62,833,1230,427,399.8
5.6,841,1230,441,399.8
5.79,821,1230,427,399.8
6.08,803,1162,419,399.9
6.06,816,1162,430,399.9
6.07,830,1162,427,399.9
5.98,822,1162,416,399.9
5.81,840,1162,419,399.9
5.77,837,1162,427,399.9
5.95,837,1162,427,399.9
5.86,859,1162,419,399.9
5.89,861,1162,423,399.9
5.86,839,1162,427,399.9
5.8,848,1125,419,400
5.75,833,1125,430,400
5.74,822,1125,434,400
5.63,832,1125,427,400
5.82,828,1125,419,400
5.99,817,1125,430,400
5.98,841,1125,423,400
5.98,844,1125,416,400
5.97,845,1125,427,400
5.76,859,1125,434,400
5.74,875,1162,427,399.8
5.68,870,1162,427,399.8
5.69,892,1162,434,399.8
5.73,891,1162,437,399.8
5.85,878,1162,445,399.8
5.64,875,1162,437,399.8
5.62,864,1162,441,399.8
5.57,840,1162,448,399.8
5.47,847,1162,448,399.8
5.66,821,1162,448,399.8
5.96,797,1087,445,399.9
5.96,808,1087,456,399.9
5.98,817,1087,456,399.9
5.95,798,1087,456,399.9
5.87,806,1087,456,399.9
5.82,806,1087,456,399.9
5.93,805,1087,463,399.9
5.86,821,1087,467,399.9
5.88,827,1087,463,399.9
5.85,812,1087,459,399.9
5.77,826,1185,467,400
5.65,811,1185,467,400
5.55,798,1185,459,400
5.48,809,1185,459,400
5.7,796,1185,459,400
5.89,775,1185,474,400
5.95,783,1185,456,400
5.98,782,1185,456,400
6,764,1185,463,400
5.76,773,1185,459,400
5.81,793,1192,459,399.8
5.93,802,1192,459,399.8
5.94,809,1192,470,399.8
5.92,799,1192,459,399.8
5.99,779,1192,459,399.8
5.85,780,1192,467,399.8
5.82,782,1192,470,399.8
5.74,780,1192,467,399.8
5.65,794,1192,448,399.8
5.92,778,1192,470,399.8
6.3,772,1155,459,399.9
6.3,791,1155,459,399.9
6.26,802,1155,467,399.9
6.16,799,1155,470,399.9
6.05,821,1155,467,399.9
5.97,831,1155,459,399.9
6.07,831,1155,467,399.9
5.98,841,1155,470,399.9
5.98,837,1155,459,399.9
5.89,807,1155,467,399.9
5.78,823,1245,470,400
5.75,821,1245,470,400
5.71,817,1245,467,400
5.69,835,1245,459,400
6.04,850,1245,467,400
6.32,851,1245,467,400
6.34,881,1245,456,400
6.32,891,1245,452,400
6.24,879,1245,474,400
6.06,886,1245,470,400
6.18,895,1260,459,399.8
6.2,878,1260,459,399.8
6.12,878,1260,474,399.8
6.06,859,1260,470,399.8
6.14,830,1260,463,399.8
5.99,833,1260,459,399.8
5.94,835,1260,481,399.8
5.91,822,1260,474,399.8
5.86,836,1260,470,399.8
6.12,823,1260,467,399.8
6.42,813,1267,470,399.9
6.37,822,1267,478,399.9
6.3,834,1267,478,399.9
6.27,831,1267,474,399.9
6.19,856,1267,474,399.9
6.18,858,1267,478,399.9
6.13,841,1267,481,399.9
6,832,1267,492,399.9
5.88,801,1267,485,399.9
5.77,769,1267,485,399.9
5.64,777,1110,485,400
5.61,772,1110,492,400
5.6,762,1110,500,400
5.59,775,1110,489,400
5.85,787,1110,481,400
6.13,784,1110,492,400
6.1,805,1110,492,400
6.15,818,1110,478,400
6.2,820,1110,485,400
6.06,821,1110,496,400
6.26,839,1327,485,399.8
6.27,839,1327,478,399.8
6.13,830,1327,485,399.8
6.05,807,1327,467,399.8
6.1,781,1327,478,399.8
5.98,795,1327,485,399.8
5.93,808,1327,478,399.8
5.85,809,1327,467,399.8
5.83,833,1327,474,399.8
6.01,837,1327,467,399.8
6.34,843,1132,452,399.9
6.34,853,1132,463,399.9
6.42,865,1132,452,399.9
6.45,869,1132,448,399.9
6.37,904,1132,456,399.9
6.29,895,1132,456,399.9
6.18,874,1132,448,399.9
6.02,853,1132,456,399.9
5.95,842,1132,448,399.9
5.87,819,1132,437,399.9
5.86,837,1252,448,400
5.91,833,1252,445,400
5.94,831,1252,437,400
5.88,848,1252,445,400
6.08,860,1252,445,400
6.34,851,1252,434,400
6.37,861,1252,441,400
6.33,857,1252,445,400
6.37,852,1252,437,400
6.32,877,1252,437,400
6.42,894,1215,434,399.8
6.45,889,1215,423,399.8
6.37,892,1215,430,399.8
6.3,870,1215,434,399.8
6.3,862,1215,434,399.8
6.12,881,1215,423,399.8
6.1,889,1215,434,399.8
6.06,882,1215,427,399.8
6.03,896,1215,423,399.8
6.25,884,1215,423,399.8
6.58,859,1230,427,399.9
6.53,870,1230,416,399.9
6.52,868,1230,430,399.9
6.54,866,1230,427,399.9
6.48,886,1230,427,399.9
6.38,873,1230,423,399.9
6.26,848,1230,434,399.9
6.13,840,1230,434,399.9
6.15,829,1230,430,399.9
6.09,802,1230,434,399.9
6.01,821,1237,437,400
5.91,819,1237,452,400
5.85,805,1237,445,400
5.7,798,1237,448,400
5.89,798,1237,434,400
6.04,773,1237,448,400
6.04,799,1237,448,400
6.1,816,1237,456,400
6.24,839,1237,445,400
6.15,861,1237,448,400
6.19,882,1372,452,399.8
6.13,860,1372,463,399.8
6.04,870,1372,470,399.8
6.07,854,1372,463,399.8
6.1,839,1372,456,399.8
5.98,845,1372,467,399.8
5.95,834,1372,467,399.8
5.97,829,1372,459,399.8
5.92,826,1372,456,399.8
6.1,809,1372,463,399.8
6.34,786,1260,459,399.9
6.35,815,1260,452,399.9
6.45,833,1260,456,399.9
6.49,840,1260,445,399.9
6.44,862,1260,437,399.9
6.31,857,1260,448,399.9
6.18,834,1260,437,399.9
6.03,835,1260,445,399.9
6.04,832,1260,448,399.9
6,820,1260,441,399.9
5.95,838,1102,434,400
5.97,846,1102,441,400
6.08,844,1102,445,400
5.98,855,1102,441,400
6.2,855,1102,441,400
6.44,840,1102,452,400
6.6,865,1102,448,400
6.82,890,1102,430,400
6.96,905,1102,437,400
6.78,910,1102,445,400
6.79,902,1342,448,399.8
6.66,867,1342,445,399.8
6.52,864,1342,441,399.8
6.4,849,1342,445,399.8
6.35,835,1342,448,399.8
6.2,850,1342,445,399.8
6.19,857,1342,437,399.8
6.17,854,1342,448,399.8
6.14,860,1342,437,399.8
6.3,851,1342,430,399.8
6.6,843,1267,434,399.9
6.73,874,1267,437,399.9
6.87,893,1267,434,399.9
6.83,880,1267,427,399.9
6.8,892,1267,437,399.9
6.71,878,1267,441,399.9
6.62,861,1267,430,399.9
6.43,866,1267,434,399.9
6.52,859,1267,437,399.9
6.47,848,1267,448,399.9
6.33,867,1185,445,400
6.24,869,1185,434,400
6.22,865,1185,434,400
6.08,876,1185,437,400
6.22,881,1185,445,400
6.36,865,1185,437,400
6.51,879,1185,437,400
6.75,891,1185,445,400
6.87,899,1185,448,400
6.61,889,1185,441,400
6.46,871,1252,445,399.8
6.27,843,1252,452,399.8
6.13,842,1252,456,399.8
6.07,832,1252,448,399.8
6.11,818,1252,448,399.8
5.96,830,1252,448,399.8
6.04,834,1252,463,399.8
6.15,836,1252,459,399.8
6.11,851,1252,459,399.8
6.28,849,1252,448,399.8
6.63,854,1207,459,399.9
6.73,895,1207,463,399.9
6.82,923,1207,456,399.9
6.66,906,1207,456,399.9
6.42,914,1207,459,399.9
6.32,884,1207,456,399.9
6.2,861,1207,445,399.9
6.01,857,1207,452,399.9
6.05,849,1207,445,399.9
5.99,832,1207,445,399.9
5.94,846,1245,448,400
5.93,830,1245,445,400
6.03,827,1245,434,400
5.96,833,1245,441,400
6.18,842,1245,441,400
6.41,834,1245,434,400
6.62,867,1245,434,400
6.87,894,1245,437,400
6.95,900,1245,441,400
6.71,902,1245,427,400
6.64,899,1365,434,399.8
6.45,890,1365,434,399.8
6.29,902,1365,427,399.8
6.21,898,1365,427,399.8
6.25,885,1365,437,399.8
6.22,914,1365,434,399.8
6.29,925,1365,430,399.8
6.27,913,1365,427,399.8
6.26,912,1365,430,399.8
6.48,895,1365,427,399.8
6.9,893,1252,419,400
6.93,916,1252,427,400
6.9,922,1252,430,400
6.76,903,1252,416,400
6.61,909,1252,423,400
6.48,894,1252,430,400
6.44,887,1252,427,400
6.34,898,1252,423,400
6.31,898,1252,427,400
6.24,885,1252,416,400
6.17,897,1252,408,400
6.18,883,1252,427,400
6.14,873,1252,427,400
6.11,873,1252,419,400
6.36,873,1252,423,400
6.64,869,1252,427,400
6.8,894,1252,427,400
6.92,901,1252,419,400
6.89,903,1252,427,400
6.65,910,1252,437,400
6.55,910,1372,427,399.8
6.41,894,1372,427,399.8
6.35,904,1372,434,399.8
6.26,895,1372,434,399.8
6.29,883,1372,434,399.8
6.22,893,1372,434,399.8
6.27,894,1372,441,399.8
6.29,876,1372,452,399.8
6.29,883,1372,445,399.8
6.47,882,1372,437,399.8
6.9,872,1320,448,399.9
6.95,871,1320,448,399.9
6.91,855,1320,445,399.9
6.7,831,1320,441,399.9
6.52,844,1320,456,399.9
6.5,837,1320,456,399.9
6.58,832,1320,456,399.9
6.52,858,1320,448,399.9
6.54,882,1320,448,399.9
6.46,871,1320,459,399.9
6.32,864,1230,459,400
6.28,841,1230,448,400
6.19,819,1230,452,400
6.01,819,1230,456,400
6.31,827,1230,445,400
6.78,839,1230,437,400
6.95,859,1230,441,400
7.02,854,1230,434,400
6.94,846,1230,434,400
6.74,864,1230,441,400
6.7,886,1335,434,399.7
6.64,889,1335,434,399.7
6.48,911,1335,434,399.7
6.49,901,1335,437,399.7
6.57,892,1335,427,399.7
6.49,909,1335,437,399.7
6.56,914,1335,437,399.7
6.57,900,1335,434,399.7
6.64,913,1335,427,399.7
6.83,910,1335,437,399.7
7.2,899,1215,434,399.9
7.2,908,1215,423,399.9
7.18,916,1215,434,399.9
6.9,917,1215,434,399.9
6.64,934,1215,423,399.9
6.64,947,1215,434,399.9
6.66,943,1215,434,399.9
6.61,951,1215,427,399.9
6.62,937,1215,427,399.9
6.61,913,1215,437,399.9
6.49,908,1327,434,400
6.41,888,1327,430,400
6.3,871,1327,423,400
6.31,883,1327,430,400
6.73,900,1327,427,400
7.1,904,1327,427,400
7.17,908,1327,423,400
7.15,898,1327,434,400
7.05,875,1327,423,400
6.79,889,1327,416,400
6.76,883,1305,430,399.7
6.64,874,1305,430,399.7
6.53,883,1305,419,399.7
6.44,877,1305,419,399.7
6.46,858,1305,423,399.7
6.27,875,1305,419,399.7
6.33,877,1305,427,399.7
6.42,879,1305,419,399.7
6.56,908,1305,423,399.7
6.83,905,1305,430,399.7
7.09,880,1320,427,399.9
7,883,1320,419,399.9
6.92,870,1320,423,399.9
6.76,852,1320,434,399.9
6.65,860,1320,434,399.9
6.74,862,1320,430,399.9
6.74,843,1320,419,399.9
6.66,855,1320,434,399.9
6.68,856,1320,441,399.9
6.61,850,1320,427,399.9
6.45,860,1297,427,400
6.44,867,1297,437,400
6.4,870,1297,437,400
6.36,899,1297,437,400
6.7,919,1297,427,400
6.98,908,1297,437,400
6.98,906,1297,430,400
6.94,879,1297,423,400
6.89,861,1297,434,400
6.74,877,1297,427,400
6.72,883,1522,423,399.7
6.64,875,1522,434,399.7
6.61,895,1522,416,399.7
6.58,896,1522,408,399.7
6.57,897,1522,416,399.7
6.44,911,1522,416,399.7
6.52,924,1522,408,399.7
6.59,931,1522,416,399.7
6.65,964,1522,412,399.7
6.8,966,1522,394,399.7
6.96,946,1357,408,399.9
6.88,950,1357,405,399.9
6.89,951,1357,390,399.9
6.86,942,1357,401,399.9
6.79,965,1357,405,399.9
6.83,971,1357,386,399.9
6.79,972,1357,405,399.9
6.72,979,1357,397,399.9
6.79,979,1357,394,399.9
6.8,955,1357,397,399.9
6.73,969,1192,394,400
6.78,975,1192,394,400
6.85,980,1192,394,400
6.89,994,1192,390,400
7.16,1000,1192,383,400
7.44,978,1192,386,400
7.4,984,1192,390,400
7.34,976,1192,375,400
7.31,970,1192,383,400
7.11,986,1192,386,400
7.14,992,1522,375,399.7
7.1,976,1522,383,399.7
7.05,992,1522,390,399.7
7.04,989,1522,379,399.7
7.07,971,1522,379,399.7
6.95,985,1522,394,399.7
7.02,1000,1522,379,399.7
7.06,1006,1522,383,399.7
7.07,1024,1522,394,399.7
7.22,991,1522,383,399.7
7.38,961,1440,375,399.9
7.31,972,1440,386,399.9
7.25,976,1440,386,399.9
7.19,958,1440,379,399.9
7.03,982,1440,383,399.9
7.02,989,1440,390,399.9
7.03,985,1440,394,399.9
6.95,982,1440,394,399.9
6.96,978,1440,386,399.9
6.85,958,1440,394,399.9
6.74,977,1297,405,400
6.84,990,1297,408,400
7.02,994,1297,405,400
7.13,995,1297,405,400
7.37,977,1297,405,400
7.57,934,1297,419,400
7.58,944,1297,423,400
7.6,935,1297,408,400
7.57,928,1297,405,400
7.42,943,1297,419,400
7.44,954,1575,416,399.7
7.32,951,1575,412,399.7
7.2,972,1575,419,399.7
7.08,973,1575,416,399.7
7.1,959,1575,416,399.7
6.95,980,1575,416,399.7
6.99,986,1575,419,399.7
7.13,980,1575,412,399.7
7.22,984,1575,416,399.7
7.38,967,1575,412,399.7
7.59,932,1440,401,399.9
7.51,934,1440,405,399.9
7.46,940,1440,408,399.9
7.4,926,1440,405,399.9
7.28,935,1440,401,399.9
7.25,938,1440,412,399.9
7.22,934,1440,408,399.9
7.11,946,1440,401,399.9
7.04,956,1440,405,399.9
6.88,941,1440,412,399.9
6.75,959,1290,419,400
6.97,981,1290,412,400
7.2,985,1290,405,400
7.19,986,1290,412,400
7.42,967,1290,408,400
7.59,935,1290,416,400
7.62,945,1290,401,400
7.56,953,1290,408,400
7.48,950,1290,416,400
7.38,968,1290,416,400
7.44,984,1485,401,399.7
7.32,979,1485,416,399.7
7.19,994,1485,419,399.7
7.08,988,1485,408,399.7
7.15,981,1485,408,399.7
7.05,1017,1485,419,399.7
7.25,1032,1485,416,399.7
7.22,1025,1485,405,399.7
7.19,1034,1485,412,399.7
7.43,1014,1485,412,399.7
7.71,992,1297,408,399.9
7.69,1003,1297,405,399.9
7.72,1007,1297,416,399.9
7.66,993,1297,408,399.9
7.56,1008,1297,401,399.9
7.58,1004,1297,408,399.9
7.56,984,1297,412,399.9
7.38,983,1297,401,399.9
7.31,989,1297,401,399.9
7.27,976,1297,412,399.9
7.33,1004,1417,419,400
7.5,1011,1417,412,400
7.51,1012,1417,405,400
7.4,1005,1417,416,400
7.62,986,1417,408,400
7.8,954,1417,401,400
7.84,967,1417,408,400
7.83,958,1417,408,400
7.75,951,1417,405,400
7.57,965,1417,405,400
7.53,979,1560,416,399.6
7.49,961,1560,416,399.6
7.36,966,1560,405,399.6
7.26,961,1560,401,399.6
7.37,965,1560,416,399.6
7.36,999,1560,408,399.6
7.5,1009,1560,405,399.6
7.51,983,1560,408,399.6
7.49,991,1560,405,399.6
7.73,971,1560,386,399.6
8.05,964,1365,405,399.9
8.12,977,1365,390,399.9
8.1,992,1365,383,399.9
7.85,996,1365,386,399.9
7.66,1027,1365,386,399.9
7.65,1034,1365,383,399.9
7.69,1030,1365,379,399.9
7.57,1031,1365,357,399.9
7.61,1040,1365,372,399.9
7.67,1037,1365,364,399.9
7.7,1049,1402,372,400
7.77,1039,1402,368,400
7.69,1025,1402,357,400
7.59,1017,1402,357,400
7.74,993,1402,361,400
7.99,965,1402,343,400
8.04,970,1402,354,400
8.04,967,1402,357,400
7.98,977,1402,343,400
7.79,1001,1402,350,400
7.73,1020,1612,346,399.6
7.73,1023,1612,332,399.6
7.65,1043,1612,343,399.6
7.63,1048,1612,335,399.6
7.72,1049,1612,335,399.6
7.63,1075,1612,335,399.6
7.68,1073,1612,343,399.6
7.47,1046,1612,332,399.6
7.48,1049,1612,335,399.6
7.75,1023,1612,335,399.6
8.02,995,1372,332,399.9
8.08,991,1372,335,399.9
8.1,1008,1372,335,399.9
7.94,1015,1372,324,399.9
7.84,1041,1372,324,399.9
7.82,1032,1372,335,399.9
7.82,1030,1372,332,399.9
7.78,1046,1372,324,399.9
7.89,1066,1372,335,399.9
7.95,1059,1372,332,399.9
7.87,1076,1410,332,400
7.89,1071,1410,332,400
7.82,1059,1410,335,400
7.8,1061,1410,335,400
8.03,1051,1410,328,400
8.22,1039,1410,343,400
8.3,1047,1410,332,400
8.33,1049,1410,328,400
8.31,1042,1410,328,400
8.09,1049,1410,335,400
8.04,1051,1657,332,399.6
8,1047,1657,335,399.6
8.05,1067,1657,343,399.6
7.98,1063,1657,343,399.6
8.02,1052,1657,346,399.6
7.92,1060,1657,346,399.6
7.86,1052,1657,350,399.6
7.72,1033,1657,346,399.6
7.77,1029,1657,357,399.6
8.07,1007,1657,354,399.6
8.37,981,1417,346,399.9
8.3,995,1417,354,399.9
8.17,999,1417,357,399.9
8,997,1417,357,399.9
7.84,1021,1417,354,399.9
7.76,1031,1417,354,399.9
7.7,1029,1417,361,399.9
7.7,1038,1417,357,399.9
7.87,1057,1417,346,399.9
8.01,1057,1417,361,399.9
7.96,1075,1462,364,400
